"x","Deccan","Kachi Plain","Kansai","Konya Plain","Latium","Middle Yellow River Valley","Niger Inland Delta","Orkhon Valley","Paris Basin","Sogdiana","Susiana","Upper Egypt","Mean","Lower","Upper"
-8000,NA,NA,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.143823364353022,NA,NA
-7900,NA,NA,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.143823364353022,NA,NA
-7800,NA,NA,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.143823364353022,NA,NA
-7700,NA,NA,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.143823364353022,NA,NA
-7600,NA,NA,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.143823364353022,NA,NA
-7500,NA,NA,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.143823364353022,NA,NA
-7400,NA,NA,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.143823364353022,NA,NA
-7300,NA,NA,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.143823364353022,NA,NA
-7200,NA,NA,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.143823364353022,NA,NA
-7100,NA,NA,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.143823364353022,NA,NA
-7000,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.162757351365871,0.125646736820687,0.199867965911055
-6900,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.162757351365871,0.125646736820687,0.199867965911055
-6800,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.162757351365871,0.125646736820687,0.199867965911055
-6700,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.162757351365871,0.125646736820687,0.199867965911055
-6600,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.162757351365871,0.125646736820687,0.199867965911055
-6500,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.162757351365871,0.125646736820687,0.199867965911055
-6400,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.162757351365871,0.125646736820687,0.199867965911055
-6300,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.162757351365871,0.125646736820687,0.199867965911055
-6200,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.162757351365871,0.125646736820687,0.199867965911055
-6100,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.162757351365871,0.125646736820687,0.199867965911055
-6000,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.162757351365871,0.125646736820687,0.199867965911055
-5900,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.162757351365871,0.125646736820687,0.199867965911055
-5800,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.162757351365871,0.125646736820687,0.199867965911055
-5700,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,NA,NA,0.162757351365871,0.125646736820687,0.199867965911055
-5600,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,0.150335056688893,NA,0.158616586473545,0.135705154313615,0.181528018633475
-5500,NA,0.18169133837872,NA,0.143823364353022,NA,NA,NA,NA,NA,NA,0.150335056688893,NA,0.158616586473545,0.135705154313615,0.181528018633475
-5400,NA,0.18169133837872,NA,0.153518314500867,NA,NA,NA,NA,NA,NA,0.150335056688893,NA,0.161848236522827,0.142318766589709,0.181377706455945
-5300,NA,0.18169133837872,NA,0.153518314500867,NA,NA,NA,NA,NA,NA,0.150335056688893,NA,0.161848236522827,0.142318766589709,0.181377706455945
-5200,NA,0.18169133837872,NA,0.153518314500867,NA,NA,NA,NA,NA,NA,0.150335056688893,NA,0.161848236522827,0.142318766589709,0.181377706455945
-5100,NA,0.18169133837872,NA,0.153518314500867,NA,NA,NA,NA,NA,NA,0.150335056688893,NA,0.161848236522827,0.142318766589709,0.181377706455945
-5000,NA,0.165335852009479,NA,0.194328974244638,NA,NA,NA,NA,NA,NA,0.151429542825745,NA,0.170364789693287,0.145596873099834,0.195132706286741
-4900,NA,0.165335852009479,NA,0.194328974244638,NA,NA,NA,NA,NA,NA,0.151429542825745,NA,0.170364789693287,0.145596873099834,0.195132706286741
-4800,NA,0.165335852009479,NA,0.194328974244638,NA,NA,NA,NA,NA,NA,0.205052965586959,NA,0.188239263947025,0.164988241076586,0.211490286817465
-4700,NA,0.165335852009479,NA,0.194328974244638,NA,NA,NA,NA,NA,NA,0.205052965586959,NA,0.188239263947025,0.164988241076586,0.211490286817465
-4600,NA,0.165335852009479,NA,0.194328974244638,NA,NA,NA,NA,NA,NA,0.205052965586959,NA,0.188239263947025,0.164988241076586,0.211490286817465
-4500,NA,0.165335852009479,NA,0.194328974244638,NA,NA,NA,NA,NA,NA,0.205052965586959,NA,0.188239263947025,0.164988241076586,0.211490286817465
-4400,NA,0.165335852009479,NA,0.216141700054085,NA,NA,NA,NA,NA,NA,0.205052965586959,NA,0.195510172550174,0.165281083313575,0.225739261786774
-4300,NA,0.165335852009479,NA,0.216141700054085,NA,NA,NA,NA,NA,NA,0.205052965586959,NA,0.195510172550174,0.165281083313575,0.225739261786774
-4200,NA,0.165335852009479,NA,0.216141700054085,NA,NA,NA,NA,NA,NA,0.205052965586959,NA,0.195510172550174,0.165281083313575,0.225739261786774
-4100,NA,0.165335852009479,NA,0.216141700054085,NA,NA,NA,NA,NA,NA,0.205052965586959,NA,0.195510172550174,0.165281083313575,0.225739261786774
-4000,NA,0.165335852009479,NA,0.216141700054085,NA,NA,NA,NA,NA,NA,0.205052965586959,NA,0.195510172550174,0.165281083313575,0.225739261786774
-3900,NA,0.165335852009479,NA,NA,NA,0.232113294631138,NA,NA,NA,NA,0.205052965586959,NA,0.200834037409192,0.162825595532684,0.2388424792857
-3800,NA,0.165335852009479,NA,NA,NA,0.232113294631138,NA,NA,NA,NA,0.222243682252784,NA,0.2065642762978,0.165776342896694,0.247352209698907
-3700,NA,0.165335852009479,NA,NA,NA,0.232113294631138,NA,NA,NA,NA,0.222243682252784,NA,0.2065642762978,0.165776342896694,0.247352209698907
-3600,NA,0.165335852009479,NA,NA,NA,0.232113294631138,NA,NA,NA,NA,0.222243682252784,NA,0.2065642762978,0.165776342896694,0.247352209698907
-3500,NA,0.244742652568989,NA,NA,NA,0.232113294631138,NA,NA,NA,NA,0.206973099238475,NA,0.227943015479534,0.206185596708035,0.249700434251033
-3400,NA,0.244742652568989,NA,0.256013626918214,NA,0.232113294631138,NA,NA,NA,NA,0.206973099238475,NA,0.234960668339204,0.214323768230618,0.25559756844779
-3300,NA,0.244742652568989,NA,0.256013626918214,NA,0.232113294631138,NA,NA,NA,NA,0.206973099238475,NA,0.234960668339204,0.214323768230618,0.25559756844779
-3200,NA,0.244742652568989,NA,0.256013626918214,NA,0.232113294631138,NA,NA,NA,NA,0.206973099238475,NA,0.234960668339204,0.214323768230618,0.25559756844779
-3100,NA,0.244742652568989,NA,0.256013626918214,0.167919121018721,0.232113294631138,NA,NA,0.23845912223631,NA,0.206973099238475,NA,0.224370152768641,0.198654584354782,0.2500857211825
-3000,NA,0.244742652568989,NA,0.256013626918214,0.167919121018721,0.232113294631138,NA,NA,0.23845912223631,0.289181020955113,0.206973099238475,NA,0.233628848223851,0.20531515011253,0.261942546335173
-2900,NA,0.244742652568989,NA,0.256013626918214,0.167919121018721,0.232113294631138,NA,NA,0.23845912223631,0.289181020955113,0.253915661384648,NA,0.240334928530448,0.213030614409696,0.2676392426512
-2800,NA,0.244742652568989,NA,0.256013626918214,0.167919121018721,0.232113294631138,NA,NA,0.23845912223631,0.289181020955113,0.246384910841543,NA,0.23925910702429,0.212217238649223,0.266300975399356
-2700,NA,0.252403171033666,NA,0.256013626918214,0.167919121018721,0.232113294631138,NA,NA,0.23845912223631,0.289181020955113,0.246384910841543,NA,0.240353466804958,0.21308539244517,0.267621541164745
-2600,NA,0.252403171033666,NA,0.256013626918214,0.167919121018721,0.232113294631138,NA,NA,0.23845912223631,0.289181020955113,0.246384910841543,NA,0.240353466804958,0.21308539244517,0.267621541164745
-2500,NA,0.252403171033666,NA,0.256013626918214,0.167919121018721,0.232113294631138,NA,NA,0.23845912223631,0.289181020955113,0.285490764091444,NA,0.245940017269229,0.21583038427086,0.276049650267598
-2400,0.194400570243451,0.252403171033666,NA,0.256013626918214,0.167919121018721,0.232113294631138,NA,NA,0.23845912223631,0.289181020955113,0.285490764091444,NA,0.239497586391007,0.210525396564887,0.268469776217127
-2300,0.194400570243451,0.252403171033666,NA,0.256013626918214,0.167919121018721,0.232113294631138,NA,NA,0.23845912223631,0.289181020955113,0.285490764091444,NA,0.239497586391007,0.210525396564887,0.268469776217127
-2200,0.194400570243451,0.252403171033666,NA,0.256013626918214,0.167919121018721,0.232113294631138,NA,NA,0.23845912223631,0.289181020955113,0.285490764091444,NA,0.239497586391007,0.210525396564887,0.268469776217127
-2100,0.194400570243451,0.252403171033666,NA,0.256013626918214,0.167919121018721,0.232113294631138,NA,NA,0.233499317313397,0.289181020955113,0.30242541295172,NA,0.240994441883178,0.209896407793398,0.272092475972957
-2000,0.194400570243451,0.6744776040564,NA,0.256013626918214,0.167919121018721,0.232113294631138,NA,NA,0.233499317313397,0.289181020955113,0.30242541295172,NA,0.293753746011019,0.182753679849756,0.404753812172283
